ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor(s),Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,CombinedWith,Description
10358,AAS,1020,100,Lecture,"4","Ashleigh Wade, -","TuTh 12:30pm - 1:45pm","","Introduction to African-American and African Studies II","",Open,56,180,0,"","This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora."
10363,AAS,1020,101,Discussion,"0","To Be Announced","Tu 6:00pm - 6:50pm","","Introduction to African-American and African Studies II","",Open,6,20,0,"","This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora."
10362,AAS,1020,102,Discussion,"0","To Be Announced","Tu 5:00pm - 5:50pm","","Introduction to African-American and African Studies II","",Open,13,20,0,"","This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora."
10361,AAS,1020,103,Discussion,"0","To Be Announced","We 5:00pm - 5:50pm","","Introduction to African-American and African Studies II","",Open,16,20,0,"","This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora."
10360,AAS,1020,104,Discussion,"0","To Be Announced","We 7:00pm - 7:50pm","","Introduction to African-American and African Studies II","",Open,3,20,0,"","This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora."
10364,AAS,1020,105,Discussion,"0","To Be Announced","Tu 7:00pm - 7:50pm","","Introduction to African-American and African Studies II","",Open,3,20,0,"","This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora."
10359,AAS,1020,106,Discussion,"0","To Be Announced","We 6:00pm - 6:50pm","","Introduction to African-American and African Studies II","",Open,7,20,0,"","This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora."
11816,AAS,1020,107,Discussion,"0","To Be Announced","Tu 7:00pm - 7:50pm","","Introduction to African-American and African Studies II","",Open,1,20,0,"","This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora."
11817,AAS,1020,108,Discussion,"0","To Be Announced","Tu 5:00pm - 5:50pm","","Introduction to African-American and African Studies II","",Open,5,20,0,"","This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora."
11818,AAS,1020,109,Discussion,"0","To Be Announced","Tu 6:00pm - 6:50pm","","Introduction to African-American and African Studies II","",Open,2,20,0,"","This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora."
12479,AAS,2500,001,SEM,"3","Alisha Gaines","MoWe 2:00pm - 3:15pm","","Topics Course in Africana Studies","Racial Passing in Lit&Culture",Wait List,18,18,0,"","Lower-level topics course: reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor."
12467,AAS,2500,002,SEM,"3","Nasrin Olla","TuTh 9:30am - 10:45am","","Topics Course in Africana Studies","Black Hope, Black Despair",Open,3,18,0,"","Lower-level topics course: reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor."
13186,AAS,2500,003,SEM,"3","Sabrina Pendergrass","TuTh 2:00pm - 3:15pm","","Topics Course in Africana Studies","Race&Place in Af-American Life",Open,3,15,0,"","Lower-level topics course: reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor."
19281,AAS,2500,004,SEM,"3","Sabrina Pendergrass","TuTh 3:30pm - 4:45pm","","Topics Course in Africana Studies","The Souls of Black Folk",Open,8,15,0,"","Lower-level topics course: reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor."
19282,AAS,2500,005,SEM,"3","Robin Means Coleman","We 4:00pm - 6:30pm","","Topics Course in Africana Studies","AfricanAmericans in PopCulture",Open,10,15,0,"MDST 2727-001, AAS 2500-005","Lower-level topics course: reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor."
19285,AAS,2710,001,Lecture,"3","FATIMA SIWAJU","We 3:30pm - 6:00pm","","Introduction to Afro-Latin America","",Open,7,20,0,"","This seminar examines the historical and contemporary trajectories and the cultural and intellectual contributions of Afro-descendant peoples in Latin America. Students explore the myriad ways in which Afro-Latin Americans have shaped their societies from the colonial period to the present day."
14410,AAS,3113,001,Lecture,"3","Robin Means Coleman","Mo 4:00pm - 6:30pm","","Horror Noire: A History of Black Americans in Horror","",Closed,15,15,0,"MDST 3113-001, AAS 3113-001","The horror genre provides daring, unflinching lessons. It is a syllabus of our social, political, and racial world. Black horror, in particular, has established itself as a primer on the quest for social justice. What can such a boundary-pushing genre teach us about paths to solidarity and democracy? What can we learn about disrupting racism, misogyny, and anti-Blackness?"
13187,AAS,3157,001,SEM,"3","FATIMA SIWAJU","Tu 3:30pm - 6:00pm","","Caribbean Perspectives","",Open,15,20,0,"","Breaking with popular constructions of the region as a timeless tropical paradise, this course will re-define the Caribbean as the birthplace of modern forms of capitalism, globalization, and trans-nationalism. We will survey the founding moments of Caribbean history, including the imposition of slavery, the rise of plantation economies, and the development of global networks of goods and peoples."
20397,AAS,3160,001,Lecture,"3","Darren Kelly","TuTh 12:30pm - 1:45pm","","African Americans in Sport","",Wait List,40,40,0,"","This course provides a historical and analytical understanding of the issues involving race, racism, race relations in American sport. This course provides an overview of the sporting events, activism, icons, and time periods that have been shaped by Americas continued struggle to improve race relations."
13606,AAS,3500,001,SEM,"3","Alisha Gaines","MoWe 3:30pm - 4:45pm","","Intermediate Seminar in African-American & African Studies","Black South in Pop Imagination",Open,4,18,0,"","Reading, class discussion, and written assignments on a special topic in African-American and African Studies. Topics change from term to term, and vary with the instructor."
12699,AAS,3500,002,SEM,"3","Liana Richardson","Tu 3:30pm - 6:00pm","","Intermediate Seminar in African-American & African Studies","Race, Ethnicity & Health in US",Open,12,16,0,"","Reading, class discussion, and written assignments on a special topic in African-American and African Studies. Topics change from term to term, and vary with the instructor."
12812,AAS,3500,003,SEM,"3","Ashon Crawley","Mo 6:00pm - 8:30pm","","Intermediate Seminar in African-American & African Studies","Intro to Black Queer Film",Open,8,20,0,"","Reading, class discussion, and written assignments on a special topic in African-American and African Studies. Topics change from term to term, and vary with the instructor."
13034,AAS,3500,004,SEM,"3","Kimberly Fields","Th 3:30pm - 6:00pm","","Intermediate Seminar in African-American & African Studies","RaceClassPolitics&Environment",Open,14,30,0,"","Reading, class discussion, and written assignments on a special topic in African-American and African Studies. Topics change from term to term, and vary with the instructor."
13035,AAS,3500,005,SEM,"3","Kimberly Fields","We 6:00pm - 8:30pm","","Intermediate Seminar in African-American & African Studies","Global Environmental Justice",Open,11,20,0,"","Reading, class discussion, and written assignments on a special topic in African-American and African Studies. Topics change from term to term, and vary with the instructor."
13033,AAS,3500,006,SEM,"3","Michael Carter Jr., Lisa Shutt","Tu 2:00pm - 4:30pm","","Intermediate Seminar in African-American & African Studies","Africulture: Roots of US Ag",Open,18,25,0,"AAS 3500-006, ETP 3500-001","Reading, class discussion, and written assignments on a special topic in African-American and African Studies. Topics change from term to term, and vary with the instructor."
13036,AAS,3500,007,SEM,"3","Liana Richardson","Tu 6:00pm - 8:30pm","","Intermediate Seminar in African-American & African Studies","Race & Medicine in America",Open,11,16,0,"","Reading, class discussion, and written assignments on a special topic in African-American and African Studies. Topics change from term to term, and vary with the instructor."
19558,AAS,3500,008,SEM,"3","Joanna Evans","TuTh 9:30am - 10:45am","","Intermediate Seminar in African-American & African Studies","Black Power & Environ Movement",Open,6,20,0,"","Reading, class discussion, and written assignments on a special topic in African-American and African Studies. Topics change from term to term, and vary with the instructor."
19559,AAS,3500,009,SEM,"3","Jovon Moses","MoWe 2:00pm - 3:15pm","","Intermediate Seminar in African-American & African Studies","Black&TransOthersGothicLitFilm",Open,1,20,0,"","Reading, class discussion, and written assignments on a special topic in African-American and African Studies. Topics change from term to term, and vary with the instructor."
19292,AAS,3500,010,SEM,"3","Adam McNeil","MoWe 5:00pm - 6:15pm","","Intermediate Seminar in African-American & African Studies","Black Women, Slavery & Freedom",Open,2,20,0,"","Reading, class discussion, and written assignments on a special topic in African-American and African Studies. Topics change from term to term, and vary with the instructor."
19283,AAS,3500,011,SEM,"3","Naseemah Mohamed","TuTh 11:00am - 12:15pm","","Intermediate Seminar in African-American & African Studies","Education and Conflict",Open,6,20,0,"","Reading, class discussion, and written assignments on a special topic in African-American and African Studies. Topics change from term to term, and vary with the instructor."
19284,AAS,3500,012,SEM,"3","Naseemah Mohamed","TuTh 12:30pm - 1:45pm","","Intermediate Seminar in African-American & African Studies","Tracing Your Genealogy",Open,10,20,0,"","Reading, class discussion, and written assignments on a special topic in African-American and African Studies. Topics change from term to term, and vary with the instructor."
19286,AAS,3760,001,Lecture,"3","Ashleigh Wade","TuTh 2:00pm - 3:15pm","","Reading Black Digital Culture","",Closed,30,30,0,"MDST 3760-001, AAS 3760-001","Using a mix of scholarly and popular-press readings and an examination of digital artifacts, we will analyze the creations and contributions of Black digital culture from the mid-90s to the present. Covering topics including the early Black blogosphere; the creation of niche content sites like BlackPlanet.com; the emergence of Black Twitter; the circulation of memes, and the use second-screening."
12225,AAS,4080,001,IND,"3","Anne Rotich","TBA","","Distinguished Major Thesis II","",Open,0,10,0,"","Second-semester DMP students should enroll in this course to complete their theses."
12480,AAS,4080,002,IND,"3","Kimberly Fields","TBA","","Distinguished Major Thesis II","",Open,1,10,0,"","Second-semester DMP students should enroll in this course to complete their theses."
12697,AAS,4570,001,SEM,"3","Liana Richardson","TuTh 2:00pm - 3:15pm","","Advanced Research Seminar in African-American & African Studies","RacePowerProductionofKnowledge",Open,4,16,0,"","Reading, class discussion, and research on a special topic in African-American and African Studies culminating in the composition of a research paper. Topics change from term to term, and vary with the instructor. Primarily for fourth-year students but open to others."
19287,AAS,4570,002,SEM,"3","Alexandria Smith","TuTh 11:00am - 12:15pm","","Advanced Research Seminar in African-American & African Studies","Black Feminist Theory",Closed,16,16,0,"AAS 4570-002, WGS 4820-001","Reading, class discussion, and research on a special topic in African-American and African Studies culminating in the composition of a research paper. Topics change from term to term, and vary with the instructor. Primarily for fourth-year students but open to others."
13604,AAS,7000,001,SEM,"3","Robert Vinson","Th 2:00pm - 4:30pm","","Introduction to Africana Studies","",Open,3,12,0,"","This is an introductory course that will survey selected recent and classic texts in the interdisciplinary fields of African American, African, and Caribbean Studies. By the end of the course, students will be prepared to identify and understand major themes that have shaped the development of the discipline of Africana Studies."
12486,AAS,9710,001,IND,"12","Robert Vinson","TBA","","Woodson Institute Fellows Pre- and Post-Doctoral Research","",Open,0,15,0,"","This is a supervised research course without formal classroom instruction."
20566,ACCT,3010,701,Lecture,"3","Nammy Lee, -, -, -","Mo 6:30pm - 9:30pm","","Introductory Financial Accounting","",Open,2,24,0,"","Designed to introduce students to the language of business, the course begins with the role of financial data in contemporary society, proceeds to develop an accounting model for capturing financial data, and finishes with the problems of measuring and reporting incomes, assets, liabilities, and equities. The focus is on external reporting with core financial statements."
20567,ACCT,5110,701,Lecture,"3","Leon Hutton, -, -, -","We 6:30pm - 9:30pm","","Intermediate Accounting I","",Open,0,24,0,"","Provides an intensive study of the generally accepted accounting principles for asset valuation, income measurement, and financial statement presentation for business organizations, and underlying processes behind principles. Recommended prerequisite: ACCT 3010."
20568,ACCT,5120,701,Lecture,"3","Ambrose Jones, -, -, -","We 6:30pm - 9:30pm","","Intermediate Accounting II","",Open,0,24,0,"","Continuation of ACCT 5110. Provides an in-depth study of accounting for the equities of a firm's investors and creators. Covers special problem areas in financial accounting including accounting for leases, pensions, income taxes, and shareholder's equity considerations. Recommended prerequisite: ACCT 5110."
20570,ACCT,5200,701,Lecture,"3","Richard Evans, -, -, -","Th 6:30pm - 9:30pm","","Introduction to Accounting Information Systems","",Open,0,24,0,"","Explores how accounting information systems are designed and implemented to meet organizational accounting and decision-making needs. Analyze how capabilities and limitations inherent to current technology may shape organizational operations and strategy. Topics include firm value of AIS, block chain, artificial intelligence, mapping business processes, database design and queries, internal controls, mitigating information risks, and more."
20571,ACCT,5310,701,Lecture,"3","Gary Brooks, -, -","Mo 6:30pm - 9:30pm","","Selected Topics in Advanced Accounting","",Open,0,24,0,"","Studies accounting and financial reporting for partnerships, business enterprise segments, home office/branch office, foreign transactions and translation, business combinations, and other intercorporate investments and consolidated statements. Recommended prerequisite: ACCT 5120"
20572,ACCT,5410,701,Lecture,"3","Michael Hood, -, -, -","Tu 6:30pm - 9:30pm","","Fraud Examination","",Open,0,24,0,"","Focuses on the principles and methodology of fraud detection and deterrence. Examines how and why occupational fraud is committed, how fraudulent conduct can be deterred, and how allegations of fraud should be investigated and resolved. Recommended prerequisite: ACCT 5120"
20574,ACCT,5450,701,Lecture,"3","Harvey Hutchinson, -, -, -","We 6:30pm - 9:30pm","","Introduction to Taxation","",Open,0,24,0,"","Analyzes basic federal income tax laws and their application to individuals, corporations, and other entities. Employs a study of scenarios and problems covering personal and business tax situations for tax avoidance results. Assigns several cases for which the student prepares illustrative tax returns. Recommended prerequisite: ACCT 3010."
20575,ACCT,5460,701,Lecture,"3","Travis Bartee, -, -, -","Tu 6:30pm - 9:30pm","","Entity Tax Compliance and Planning","",Open,0,24,0,"","Analyzes the federal income tax laws and their application to corporations, shareholders, partnerships, partners, estates, and gift transactions. Recommended prerequisite: ACCT 5120."
